Ordem;Família;Material;#;Stock inical;nº NE's;UN
226;DIV;BROCA HSS COBALTO P/INOX_ 5MM;29;16;3;UN
227;DIV;BROCA HSS COBALTO P/INOX_ 6,5MM;31;11;3;UN
228;DIV;BROCA HSS COBALTO P/INOX_ 6MM;29;15;3;UN
229;DIV;BROCA HSS COBALTO P/INOX_ 7,5MM;31;28;3;UN
230;DIV;BROCA HSS COBALTO P/INOX_ 7MM;29;14;3;UN
231;DIV;BROCA HSS COBALTO P/INOX_ 8,5MM;31;25;3;UN
232;DIV;BROCA HSS COBALTO P/INOX_ 8MM;29;21;3;UN
233;DIV;BROCA HSS COBALTO P/INOX_ 9,5MM;31;28;3;UN
234;DIV;BROCA HSS COBALTO P/INOX_ 9MM;29;28;3;UN
235;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 10 X 160_XLR;59;30;3;UN
236;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 10 X 300_XLR;59;11;2;UN
237;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 12 X 160_ XLR;60;16;3;UN
238;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 14 X 160_ XLR;60;35;3;UN
239;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 16 X 160_ XLR;60;20;3;UN
240;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 20MM;51;0;1;UN
241;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 25MM;51;19;1;UN
242;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 32MM;51;42;1;UN
243;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 38MM;51;6;1;UN
244;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 6 X 160_ XLR;59;16;3;UN
245;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 6 X 300_ XLR;59;16;1;UN
246;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 8 X 160_ XLR;59;19;3;UN
247;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS 4 GUMES DE CORTE_ 8 X 300_ XLR;59;2;1;UN
248;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS DE 4 GUMES 14MM X 300MM;52;8;1;UN
249;DIV;BROCA P/BETÃO/PEDRA SDS-PLUS DE 4 GUMES 16MM X 300MM;52;9;1;UN
250;DIV;BUCHA DE CUNHA ZN  M8X90;24;20;1;UN
251;DIV;BUCHA METÁLICA ZN M10;21;-2;2;UN
252;DIV;BUCHA METÁLICA ZN M12;21;20;1;UN
253;DIV;BUCHA METÁLICA ZN M6;20;170;1;UN
254;DIV;BUCHA METÁLICA ZN M8;20;5;2;UN
255;DIV;BUCHA PLÁSTICA M10_ 50CX;24;165;1;UN
256;DIV;BUCHA PLÁSTICA M12;18;92;1;UN
257;DIV;BUCHA PLÁSTICA M6 X 35_ TIPO FISCHER DUOPOWER;45;80;3;UN
258;DIV;BUCHA PLÁSTICA M8X40_ TIPO FISCHER DUOPOWER;43;-127;3;UN
259;DIV;BUCHA TAPIT COM PREGO 6X25MM (50UN);35;2;1;UN
260;DIV;BUCHA TAPIT COM PREGO 6X35MM (50UN);35;2;1;UN
261;DIV;BUCHA TAPIT COM PREGO 6X50MM (50UN);35;2;1;UN
262;DIV;BUCHA TAPIT COM PREGO 6X70MM (50UN);35;2;1;UN
263;DIV;BUCHA TAPIT COM PREGO 8X25MM (50UN);35;2;1;UN
264;DIV;BUCHA TAPIT COM PREGO 8X35MM (50UN);35;2;1;UN
265;DIV;BUCHA TAPIT COM PREGO 8X50MM (50UN);35;2;1;UN
266;DIV;BUCHA TAPIT COM PREGO 8X70MM (50UN);35;2;1;UN
267;DIV;BUCHA TIPO GUARDA-CHUVA 6X37,5;30;30;1;UN
268;ELE;BUCIM;5;9;1;UN
269;MFE;BUSCA POLOS 170MM (80×3.5MM), TIPO SD 1301;42;0;0;UN
270;DIV;CABIDE DUPLO CROMADO COM MEDIDAS 60MM HASTE DE CIMA E 40MM HASTE DE BAIXO;73;-155;2;UN
271;ELE;CABO 3G1,5MM FLEXÍVEL BRANCO;28;0;1;M
272;SER;CABO DE AÇO GALVANIZADO DE 4MM;30;100;1;M
273;SER;CABO DE AÇO GALVANIZADO DE 6MM;30;100;1;M
274;SER;CABO DE AÇO GALVANIZADO REVESTIDO DE 3MM;40;99;1;M
275;SER;CABO DE AÇO GALVANIZADO REVESTIDO DE 5MM;40;100;1;M
276;SER;CABO DE AÇO INOX DE 3MM;23;100;1;M
277;SER;CABO DE AÇO INOX DE 5MM;23;15;1;M
278;ELE;CABO DE AÇO INOX REVESTIDO DE 4MM;33;0;0;M
279;ELE;CABO DE AÇO INOX REVESTIDO DE 6MM;33;0;0;M
280;ELE;CABO DE BORRACHA H07RN-F 5G 25MM;32;0;0;M
281;ELE;CABO FVV-P 5G10MM2;18;26;2;M
282;ELE;CABO FVV-P 5G6MM2;17;0;1;M
283;ELE;CABO FVV-P PRETO 3G1,5MM;24;890;3;M
284;ELE;CABO FVV-P PRETO 3G2,5MM;24;1158;3;M
285;ELE;CABO LIVRE DE HALOGÉNIOS XRZ 1-K 5G2,5 FLEXÍVEL;47;45;1;M
286;MFE;CABO LONGO PARA ENCHADA MADEIRA 1200 X 37 X 37 MM BELLOTA M3 - SB 1200;70;0;0;M
287;MFE;CABO LONGO PARA PICAS EM MADEIRA 1195 X 50 X 36MM BELLOTA M 5520L;65;0;0;M
288;MFE;CABO LONGO PARA VASSOURAS MADEIRA 1200 X 30 X 30MM BELLOTA M3020;64;0;0;M
289;ELE;CABO RZ1-K 3G1,5MM2 VERDE;25;115;2;M
290;ELE;CABO RZ1-K 3G2,5MM2 VERDE;25;75;2;M
291;ELE;CABO RZ1-K 5G4MM2 VERDE;23;240;1;M
292;ELE;CABO V 16MM VERDE-AMARELO;25;3;1;M
293;ELE;CABO VV/XV PRETO 3G1,5MM;24;100;2;M
294;ELE;CABO VV/XV PRETO 3G2,5MM;24;270;1;M
295;DIV;CADEADO DE 50MM NORMAL;22;11;3;UN
296;FER;CADEADO DE CHAVE UNIVERSAL_ ABUS 84IB/50 KA 8501;48;0;1;UN
297;FER;CADEADO LATÃO 40MM;18;7;2;UN
298;CAR;CAIBRO DE PINHO TRATADO 2600 X 100 X 100MM 1ª QUALIDADE;55;16;1;UN
299;CAR;CAIBRO DE PINHO TRATADO 2600 X 120 X 120MM 1ª QUALIDADE;55;15;1;UN
300;CAR;CAIBRO DE PINHO TRATADO 2600 X 80 X 80MM 1ª QUALIDADE;53;12;1;UN
301;ELE;CAIXA APARELHO FUNDA DE EMBUTIR;31;-2;1;UN
302;FER;CAIXA DE 100 X 100MM ESTANQUE;29;2;1;UN
303;DIV;CAIXA DE AGRAFOS TIPO A 10MM_1000UN;35;0;1;UN
304;DIV;CAIXA DE AGRAFOS TIPO A 8MM_1000UN;34;0;1;UN
